Metropolitan area,Year,Median_Household_Income
San Francisco,2017,76207
San Francisco,2018,79079
San Francisco,2019,83985
San Francisco,2020,87494
San Francisco,2021,91003
San Francisco,2022,128151
San Francisco,2023,127792
Seattle,2012,66345
Seattle,2013,67479
Seattle,2014,83327
Seattle,2015,88518
Seattle,2016,96677
Seattle,2017,101714
Seattle,2018,107898
Seattle,2019,114696
Seattle,2020,115350
Seattle,2021,116005
Seattle,2022,106909
Seattle,2023,110744
St. Louis,2012,53015
St. Louis,2013,54449
St. Louis,2014,71329
St. Louis,2015,75331
St. Louis,2016,78612
St. Louis,2017,82133
St. Louis,2018,87910
St. Louis,2019,94027
St. Louis,2020,97874
St. Louis,2021,101721
St. Louis,2022,74531
St. Louis,2023,78224
Tampa,2012,45053
Tampa,2013,45880
Tampa,2014,46895
Tampa,2015,48911
Tampa,2016,51115
Tampa,2017,52212
Tampa,2018,54912
Tampa,2019,57906
Tampa,2020,60428
Tampa,2021,62951
Tampa,2022,69290
Tampa,2023,72743
WashingtonDC,2012,89593
WashingtonDC,2013,90149
WashingtonDC,2014,91284
WashingtonDC,2015,93294
WashingtonDC,2016,95843
WashingtonDC,2017,99669
WashingtonDC,2018,102180
WashingtonDC,2019,105659
WashingtonDC,2020,108007
WashingtonDC,2021,110355
WashingtonDC,2022,117432
WashingtonDC,2023,121469
